Kitchen_1,Kitchen_2,Bedroom_2,Bedroom_4,Bedroom_5,Bedroom_6,BsmtFullBath_1,BsmtFullBath_3,LotArea,HalfBath_1,OpenPorchSF,2ndFlrSF,WoodDeckSF,LotFrontage,BsmtFinSF1,Fireplaces_1,Fireplaces_2,MasVnrArea,YearRemodAdd,YearBuilt,TotRmsAbvGrd_6,TotRmsAbvGrd_8,FullBath_3,TotalBsmtSF,GarageArea,GarageCars_3,GarageCars_4,GrLivArea,OverallQual_2,OverallQual_3,OverallQual_4,OverallQual_5,OverallQual_7,OverallQual_8,OverallQual_9,OverallQual_10,SalePrice
True,False,False,False,False,False,True,False,12416,False,0,0,192,47.0,1398,True,False,132.0,1986,1986,False,False,False,1606,616,False,False,1651,False,False,False,False,False,False,False,False,184000
True,False,False,True,False,False,True,False,13650,False,0,668,0,68.40684410646388,57,True,False,0.0,1958,1958,False,True,False,1052,451,False,False,1920,False,False,False,True,False,False,False,False,172500
True,False,True,False,False,False,False,False,8520,False,0,0,0,60.0,0,False,False,0.0,2006,1923,False,False,False,968,480,False,False,968,False,False,False,True,False,False,False,False,100000
True,False,False,True,False,False,False,False,7588,True,0,901,0,54.0,352,True,False,0.0,1950,1920,False,False,False,793,216,False,False,1802,False,False,False,False,True,False,False,False,200100
True,False,False,False,False,False,False,False,7438,False,0,316,104,92.0,0,False,False,0.0,1991,1908,False,False,False,504,576,False,False,1252,False,False,False,True,False,False,False,False,127000
True,False,False,False,False,False,True,False,9947,False,27,0,168,68.40684410646388,611,False,False,0.0,1991,1990,True,False,False,1188,497,False,False,1217,False,False,False,False,True,False,False,False,173000
True,False,False,False,False,False,False,False,10410,True,0,704,0,60.0,0,False,False,0.0,1987,1916,False,True,False,660,180,False,False,1656,False,False,False,True,False,False,False,False,135000
False,True,True,False,False,False,False,False,7018,False,0,0,120,64.0,1086,False,True,275.0,1979,1979,True,False,False,1086,528,False,False,1224,False,False,False,True,False,False,False,False,153337
True,False,False,False,False,False,True,False,4923,True,120,0,0,41.0,1153,True,False,0.0,2002,2001,False,False,False,1593,682,False,False,1593,False,False,False,False,False,True,False,False,286000
True,False,False,True,False,False,True,False,7472,True,32,754,0,68.40684410646388,626,False,False,138.0,2004,1972,False,False,False,725,484,False,False,1479,False,False,False,False,True,False,False,False,184000
True,False,False,False,False,False,True,False,9017,False,35,0,0,68.0,560,False,False,0.0,1999,1999,True,False,False,1431,666,False,False,1431,False,False,False,False,True,False,False,False,192000
True,False,False,False,False,False,False,False,7180,False,0,0,0,60.0,390,False,False,0.0,1972,1972,False,False,False,864,352,False,False,864,False,False,False,True,False,False,False,False,127000
True,False,False,False,False,False,True,False,9416,False,138,0,171,79.0,1126,True,False,205.0,2007,2007,False,True,False,1726,786,True,False,1726,False,False,False,False,True,False,False,False,311872
True,False,False,False,False,False,True,False,9591,False,26,0,0,76.0,1088,True,False,262.0,2005,2004,False,False,False,1713,856,True,False,1713,False,False,False,False,False,True,False,False,274900
True,False,True,False,False,False,False,False,8546,False,64,0,132,80.0,0,False,False,0.0,2004,2003,False,False,False,1121,440,False,False,1121,False,False,True,False,False,False,False,False,140000
True,False,False,False,False,False,False,False,10125,False,83,0,238,75.0,641,False,True,0.0,1977,1977,True,False,False,1196,473,False,False,1279,False,False,False,False,False,False,False,False,171500
True,False,True,False,False,False,False,False,7000,False,0,445,0,50.0,617,False,False,0.0,1950,1924,True,False,False,617,398,False,False,1310,False,False,False,False,False,False,False,False,112000
True,False,False,False,False,False,True,False,4438,False,0,0,149,68.40684410646388,662,True,False,205.0,2004,2004,False,False,False,848,420,False,False,848,False,False,False,False,False,False,False,False,149000
True,False,True,False,False,False,False,False,3500,True,35,564,0,50.0,312,False,False,0.0,1950,1947,False,False,False,720,240,False,False,1284,False,False,False,True,False,False,False,False,110000
True,False,False,False,False,False,False,False,11851,False,34,0,0,99.0,0,False,False,0.0,1990,1990,False,False,False,1424,500,False,False,1442,False,False,False,False,True,False,False,False,180500
True,False,False,False,False,False,False,False,13673,True,30,0,0,40.0,0,True,False,0.0,1962,1962,False,True,False,1140,349,False,False,1696,False,False,False,True,False,False,False,False,143900
True,False,False,False,False,False,True,False,12493,False,0,0,355,68.40684410646388,419,True,False,0.0,1960,1960,True,False,False,1100,312,False,False,1100,False,False,True,False,False,False,False,False,141000
True,False,False,False,False,False,True,False,14364,True,55,882,60,68.40684410646388,1065,True,False,128.0,1989,1988,False,False,False,1157,454,False,False,2062,False,False,False,False,True,False,False,False,277000
True,False,False,False,False,False,True,False,8250,False,0,0,0,75.0,787,False,False,260.0,1964,1964,True,False,False,1092,504,False,False,1092,False,False,False,False,False,False,False,False,145000
True,False,True,False,False,False,True,False,5604,False,0,0,0,67.0,468,False,False,0.0,1950,1925,False,False,False,864,0,False,False,864,False,False,False,True,False,False,False,False,98000
True,False,False,False,False,False,False,False,10420,False,22,0,100,83.0,36,False,False,0.0,2009,2009,True,False,False,1212,460,False,False,1212,False,False,False,False,False,False,False,False,186000
True,False,False,False,False,False,True,False,8640,True,108,920,168,72.0,822,True,False,0.0,2009,2009,False,False,False,900,644,False,False,1852,False,False,False,False,True,False,False,False,252678
True,False,False,False,False,False,False,False,13568,False,0,0,224,43.0,716,False,False,0.0,1995,1995,False,False,False,990,576,False,False,990,False,False,False,True,False,False,False,False,156000
True,False,False,False,False,False,False,False,10900,True,36,703,0,68.40684410646388,378,False,False,153.0,1977,1977,True,False,False,689,299,False,False,1392,False,False,False,False,False,False,False,False,161750
True,False,True,False,False,False,False,False,10011,False,0,0,0,72.0,360,True,False,64.0,1996,1957,True,False,False,1070,447,False,False,1236,False,False,False,True,False,False,False,False,134450
True,False,False,False,False,False,True,False,8450,False,98,0,139,65.0,946,False,False,266.0,2004,2004,False,True,False,1436,484,False,False,1436,False,False,False,False,True,False,False,False,210000
True,False,False,False,False,False,False,False,15660,True,119,817,0,68.40684410646388,341,False,True,312.0,2006,1939,False,True,False,798,431,False,False,1954,False,False,False,False,True,False,False,False,311500
True,False,True,False,False,False,False,False,3010,False,0,0,108,43.0,16,False,False,16.0,2006,2005,False,False,False,1248,438,False,False,1248,False,False,False,False,True,False,False,False,167240
True,False,True,False,False,False,False,False,8990,False,33,0,351,73.0,0,False,False,0.0,2006,2006,False,False,False,1498,675,False,False,1498,False,False,False,False,True,False,False,False,204900
True,False,False,True,False,False,False,False,8068,True,46,1257,120,68.40684410646388,0,True,False,0.0,2002,2002,False,True,False,1010,390,False,False,2267,False,False,False,False,False,False,False,False,200000
